Unnamed: 0,sample,wc,vm,fc,ac,c,h,o,n,s,cl,hc,oc,lhv,temperature,residence_time,pressure,heat_rate,fuel_type,fuel_category,devol_yield,E_A,A0
1805,_bks_1,10.8,44.2,40.9,4.2,63.4,3.9,16.2,0.9,0.6,0.0,0.7,0.2,20.13,400,10.0,1.0,1000,Lignite,Coal,13.96076308,16.651369897175904,52.56787308557641
1924,_ebs1_1,5.4,72.7,8.2,13.6,56.8,9.8,11.8,2.0,0.5,1.8,2.1,0.2,27.889065,400,1.0,10.0,1000,RDF1,Plastic,18.68848205,-9.368122489149167,9.886969935729882
332,refuse_derived_71,5.4,72.7,8.2,13.6,56.8,9.8,11.8,2.0,0.5,1.8,2.1,0.2,27.889065,400,10.0,1.0,1000,RDF2,Mix,19.1682911,9.125393964900091,54.13339844643061
333,refuse_derived_72,5.4,72.7,8.2,13.6,56.8,9.8,11.8,2.0,0.5,1.8,2.1,0.2,27.889065,400,10.0,1.0,1000,RDF2,Mix,15.02890173,9.125393964900091,54.13339844643061
1957,gm_1,2.6,58.9,27.6,10.9,82.3,7.0,7.0,1.7,2.5,0.1,1.0,0.0,35.8,400,1.0,10.0,1000,Rubber,Plastic,10.17450602,-6.700577934953199,11.449215736967792
1863,swage_1,3.2,53.7,6.41,36.69,32.4,4.6,17.11,3.9,2.1,1.5,1.703703704,0.396064815,13.943,400,1.0,1.0,1000,Sewage,Biomass,10.72909873,7.156894020856432,51.9029084546879
1993,TC_5,5.6,46.19,44.5,3.76,68.67,4.17,15.4,2.21,0.15,0.0,0.7,0.2,26.326859,400,1.0,1.0,1000,Torr-Coal,Coal,6.171428571,21.539286288651482,148.58476997549576
1995,TC_7,5.6,46.19,44.5,3.76,68.67,4.17,15.4,2.21,0.15,0.0,0.7,0.2,26.326859,400,1.0,1.0,1000,Torr-Coal,Coal,2.508474576,21.539286288651482,148.58476997549576
2003,TC_22,5.6,46.19,44.5,3.76,68.67,4.17,15.4,2.21,0.15,0.0,0.7,0.2,26.326859,400,10.0,1.0,1000,Torr-Coal,Coal,14.54131425,21.539286288651482,148.58476997549576
2101,TC_150,5.6,46.19,44.5,3.76,68.67,4.17,15.4,2.21,0.15,0.0,0.7,0.2,26.326859,400,10.0,1.0,1000,Torr-Coal,Coal,8.62378728,21.539286288651482,148.58476997549576
2103,TC_152,5.6,46.19,44.5,3.76,68.67,4.17,15.4,2.21,0.15,0.0,0.7,0.2,26.326859,400,10.0,1.0,1000,Torr-Coal,Coal,8.654212734,21.539286288651482,148.58476997549576
2104,TC_153,5.6,46.19,44.5,3.76,68.67,4.17,15.4,2.21,0.15,0.0,0.7,0.2,26.326859,400,10.0,1.0,1000,Torr-Coal,Coal,6.669164481,21.539286288651482,148.58476997549576
2118,TW_168,4.72,68.66,24.29,7.06,58.16,4.91,27.9,0.32,0.18,1.5,1.0,0.4,19.0,400,10.0,1.0,1000,Torr-Wood,Biomass,35.07610854,21.34038858228421,370.5529466145733
2132,TW_185,4.72,68.66,24.29,7.06,58.16,4.91,27.9,0.32,0.18,1.5,1.0,0.4,19.0,400,10.0,1.0,1000,Torr-Wood,Biomass,36.18677043,21.34038858228421,370.5529466145733
2134,TW_187,4.72,68.66,24.29,7.06,58.16,4.91,27.9,0.32,0.18,1.5,1.0,0.4,19.0,400,10.0,1.0,1000,Torr-Wood,Biomass,30.05025126,21.34038858228421,370.5529466145733
2203,TW_261,4.72,68.66,24.29,7.06,58.16,4.91,27.9,0.32,0.18,1.5,1.0,0.4,19.0,400,10.0,1.0,1000,Torr-Wood,Biomass,37.20930233,21.34038858228421,370.5529466145733
2204,TW_262,4.72,68.66,24.29,7.06,58.16,4.91,27.9,0.32,0.18,1.5,1.0,0.4,19.0,400,10.0,1.0,1000,Torr-Wood,Biomass,25.85443038,21.34038858228421,370.5529466145733
1892,wod_1,7.6,75.4,16.4,0.6,50.4,5.7,35.3,0.3,0.1,0.0,1.4,0.5,19.843,400,1.0,10.0,1000,Wood,Biomass,7.377516986,15.934928921278505,99.10331908756932
473,wood_8,7.6,75.4,16.4,0.6,50.4,5.7,35.3,0.3,0.1,0.0,1.4,0.5,19.843,400,10.0,1.0,1000,Wood,Biomass,7.343499197,15.934928921278505,99.10331908756932
474,wood_10,7.6,75.4,16.4,0.6,50.4,5.7,35.3,0.3,0.1,0.0,1.4,0.5,19.843,400,10.0,1.0,1000,Wood,Biomass,8.267581475,15.934928921278505,99.10331908756932
1149,wood_18,7.6,75.4,16.4,0.6,50.4,5.7,35.3,0.3,0.1,0.0,1.4,0.5,19.843,400,10.0,1.0,1000,Wood,Biomass,7.528641571,15.934928921278505,99.10331908756932
1150,wood_59,7.6,75.4,16.4,0.6,50.4,5.7,35.3,0.3,0.1,0.0,1.4,0.5,19.843,400,10.0,1.0,1000,Wood,Biomass,7.345264728,15.934928921278505,99.10331908756932
1152,wood_106,7.6,75.4,16.4,0.6,50.4,5.7,35.3,0.3,0.1,0.0,1.4,0.5,19.843,400,10.0,1.0,1000,Wood,Biomass,8.225878168,15.934928921278505,99.10331908756932
1153,wood_107,7.6,75.4,16.4,0.6,50.4,5.7,35.3,0.3,0.1,0.0,1.4,0.5,19.843,400,10.0,1.0,1000,Wood,Biomass,7.976519337,15.934928921278505,99.10331908756932
947,dgst_car_231,5.7209876588,59.5691357936,15.079012346,19.6308642016,50.313220071137394,6.910103181099773,15.160144495916397,1.8882444133512613,0.3764359790828232,0.0,1.6066732739674006,0.2548273596513454,22.53380423668958,500,10.0,1.0,1000,Digestate_SCP,Co-Pyro,38.84892086,15.09872569875148,115.8293161154276
1058,dgst_car_227,7.96347678007,55.128661194040006,15.23971994565,21.66814208024,43.89807663568398,5.853646295538767,18.18409469524125,2.1444630277213843,0.2881004859977897,0.0,1.5532655942872726,0.3275103624851087,18.987652540577272,500,10.0,1.0,1000,Digestate_SCP,Co-Pyro,49.80650155,15.09872569875148,115.8293161154276
1059,dgst_car_284,7.94686561927,55.16155385644,15.23852950965,21.65305101464,43.94559658935984,5.861471963470829,18.16169488846594,2.142565097174972,0.2887548281152453,0.0,1.5536612098319398,0.326971965649179,19.013920536924093,500,10.0,1.0,1000,Digestate_SCP,Co-Pyro,43.53869271,15.09872569875148,115.8293161154276
1060,dgst_car_289,7.970906679179999,55.11394884696,15.240252408100002,21.67489206576,43.876821741713925,5.850146002940095,18.194113760520786,2.145311940849576,0.2878078095271533,0.0,1.553088641958738,0.327751178537657,18.97590329770204,500,10.0,1.0,1000,Digestate_SCP,Co-Pyro,45.16246805,15.09872569875148,115.8293161154276
1925,_ebs1_2,5.4,72.7,8.2,13.6,56.8,9.8,11.8,2.0,0.5,1.8,2.1,0.2,27.889065,500,1.0,10.0,1000,RDF1,Plastic,52.78444227,-9.368122489149167,9.886969935729882
381,refuse_derived_152,5.4,72.7,8.2,13.6,56.8,9.8,11.8,2.0,0.5,1.8,2.1,0.2,27.889065,500,10.0,1.0,1000,RDF2,Mix,44.91525424,9.125393964900091,54.13339844643061
383,refuse_derived_155,5.4,72.7,8.2,13.6,56.8,9.8,11.8,2.0,0.5,1.8,2.1,0.2,27.889065,500,10.0,1.0,1000,RDF2,Mix,49.50787402,9.125393964900091,54.13339844643061
1958,gm_2,2.6,58.9,27.6,10.9,82.3,7.0,7.0,1.7,2.5,0.1,1.0,0.0,35.8,500,1.0,10.0,1000,Rubber,Plastic,53.2476953,-6.700577934953199,11.449215736967792
1594,cel_40,5.725,87.90049959,6.374500406,0.0,40.30540466,4.517670155,54.86084358,0.269661888,0.046419714,0.0,1.345031574,1.020846535,16.51605,600,0.5,1.0,1000,Cellulose,Biomass,72.87804878,23.092331773926187,674.6068539032022
1595,cel_41,5.725,87.90049959,6.374500406,0.0,40.30540466,4.517670155,54.86084358,0.269661888,0.046419714,0.0,1.345031574,1.020846535,16.51605,600,0.5,1.0,1000,Cellulose,Biomass,67.85252264,23.092331773926187,674.6068539032022
1581,cel_29,5.725,87.90049959,6.374500406,0.0,40.30540466,4.517670155,54.86084358,0.269661888,0.046419714,0.0,1.345031574,1.020846535,16.51605,600,1.0,1.0,1000,Cellulose,Biomass,64.90949508,23.092331773926187,674.6068539032022
1582,cel_60,5.725,87.90049959,6.374500406,0.0,40.30540466,4.517670155,54.86084358,0.269661888,0.046419714,0.0,1.345031574,1.020846535,16.51605,600,1.0,1.0,1000,Cellulose,Biomass,64.57399103,23.092331773926187,674.6068539032022
1598,cel_43,5.725,87.90049959,6.374500406,0.0,40.30540466,4.517670155,54.86084358,0.269661888,0.046419714,0.0,1.345031574,1.020846535,16.51605,600,2.0,1.0,1000,Cellulose,Biomass,76.59713168,23.092331773926187,674.6068539032022
1600,cel_45,5.725,87.90049959,6.374500406,0.0,40.30540466,4.517670155,54.86084358,0.269661888,0.046419714,0.0,1.345031574,1.020846535,16.51605,600,2.0,1.0,1000,Cellulose,Biomass,80.62385321,23.092331773926187,674.6068539032022
1601,cel_46,5.725,87.90049959,6.374500406,0.0,40.30540466,4.517670155,54.86084358,0.269661888,0.046419714,0.0,1.345031574,1.020846535,16.51605,600,5.0,1.0,1000,Cellulose,Biomass,84.17742469,23.092331773926187,674.6068539032022
1604,cel_57,5.725,87.90049959,6.374500406,0.0,40.30540466,4.517670155,54.86084358,0.269661888,0.046419714,0.0,1.345031574,1.020846535,16.51605,600,5.0,1.0,1000,Cellulose,Biomass,82.62362637,23.092331773926187,674.6068539032022
1605,cel_50,5.725,87.90049959,6.374500406,0.0,40.30540466,4.517670155,54.86084358,0.269661888,0.046419714,0.0,1.345031574,1.020846535,16.51605,600,10.0,1.0,1000,Cellulose,Biomass,89.74017322,23.092331773926187,674.6068539032022
1606,cel_51,5.725,87.90049959,6.374500406,0.0,40.30540466,4.517670155,54.86084358,0.269661888,0.046419714,0.0,1.345031574,1.020846535,16.51605,600,10.0,1.0,1000,Cellulose,Biomass,87.01206529,23.092331773926187,674.6068539032022
1608,cel_52,5.725,87.90049959,6.374500406,0.0,40.30540466,4.517670155,54.86084358,0.269661888,0.046419714,0.0,1.345031574,1.020846535,16.51605,600,20.0,1.0,1000,Cellulose,Biomass,94.55848811,23.092331773926187,674.6068539032022
1610,cel_54,5.725,87.90049959,6.374500406,0.0,40.30540466,4.517670155,54.86084358,0.269661888,0.046419714,0.0,1.345031574,1.020846535,16.51605,600,20.0,1.0,1000,Cellulose,Biomass,95.28936743,23.092331773926187,674.6068539032022
1836,dgt_2,10.2,50.7,15.4,23.7,37.5,4.8,21.2,2.4,0.2,0.0,1.5,0.4,15.055,600,1.0,10.0,1000,Digestate,Biomass,49.90149738,12.097036697930562,71.01089208359265
1846,dgt_12,10.2,50.7,15.4,23.7,37.5,4.8,21.2,2.4,0.2,0.0,1.5,0.4,15.055,600,1.0,1.5,1000,Digestate,Biomass,53.74346271,12.097036697930562,71.01089208359265
1847,dgt_13,10.2,50.7,15.4,23.7,37.5,4.8,21.2,2.4,0.2,0.0,1.5,0.4,15.055,600,1.0,10.0,1000,Digestate,Biomass,49.90149738,12.097036697930562,71.01089208359265
515,_digestate_01,10.2,50.7,15.4,23.7,37.5,4.8,21.2,2.4,0.2,0.0,1.5,0.4,15.055,600,10.0,1.0,1000,Digestate,Biomass,36.34933124,12.097036697930562,71.01089208359265
517,_digestate_05,10.2,50.7,15.4,23.7,37.5,4.8,21.2,2.4,0.2,0.0,1.5,0.4,15.055,600,10.0,1.0,1000,Digestate,Biomass,39.92687386,12.097036697930562,71.01089208359265
518,_digestate_57,10.2,50.7,15.4,23.7,37.5,4.8,21.2,2.4,0.2,0.0,1.5,0.4,15.055,600,10.0,1.0,1000,Digestate,Biomass,45.40778839,12.097036697930562,71.01089208359265
519,_digestate_61,10.2,50.7,15.4,23.7,37.5,4.8,21.2,2.4,0.2,0.0,1.5,0.4,15.055,600,10.0,1.0,1000,Digestate,Biomass,37.94832241,12.097036697930562,71.01089208359265
520,_digestate_66,10.2,50.7,15.4,23.7,37.5,4.8,21.2,2.4,0.2,0.0,1.5,0.4,15.055,600,10.0,1.0,1000,Digestate,Biomass,52.60314342,12.097036697930562,71.01089208359265
1411,dgst_30,10.2,50.7,15.4,23.7,37.5,4.8,21.2,2.4,0.2,0.0,1.5,0.4,15.055,600,10.0,1.0,1000,Digestate,Biomass,51.64952111,12.097036697930562,71.01089208359265
680,digestate_pe_444,7.547999999999999,63.518,11.396,17.538,49.83648,7.5183,15.688,1.78328,0.16386,0.00104,1.682,0.296,23.2398,600,0.5,1.0,1000,Digestate_PE,Co-Pyro,9.778085992,28.558121872631503,459.2978364710907
681,digestate_pe_473,7.649999999999999,63.025000000000006,11.55,17.775,49.362,7.41375,15.9,1.807,0.16525,0.001,1.675,0.3,22.925,600,0.5,1.0,1000,Digestate_PE,Co-Pyro,11.15716753,28.558121872631503,459.2978364710907
736,digestate_pe_464,5.1,75.35,7.7,11.85,61.224,10.0275,10.6,1.214,0.1305,0.002,1.85,0.2,30.795,600,0.5,1.0,1000,Digestate_PE,Co-Pyro,9.109518936,28.558121872631503,459.2978364710907
739,digestate_pe_467,5.303999999999999,74.364,8.008000000000001,12.324,60.27504,9.8184,11.024,1.26144,0.13328,0.00192,1.836,0.208,30.1654,600,0.5,1.0,1000,Digestate_PE,Co-Pyro,7.874794069,28.558121872631503,459.2978364710907
676,digestate_pe_438,7.649999999999999,63.025000000000006,11.55,17.775,49.362,7.41375,15.9,1.807,0.16525,0.001,1.675,0.3,22.925,600,1.0,1.0,1000,Digestate_PE,Co-Pyro,18.41831426,28.558121872631503,459.2978364710907
677,digestate_pe_439,7.649999999999999,63.025000000000006,11.55,17.775,49.362,7.41375,15.9,1.807,0.16525,0.001,1.675,0.3,22.925,600,1.0,1.0,1000,Digestate_PE,Co-Pyro,17.78235496,28.558121872631503,459.2978364710907
734,digestate_pe_462,5.202,74.857,7.854,12.087,60.74952,9.92295,10.812,1.23772,0.13189,0.00196,1.843,0.204,30.4802,600,1.0,1.0,1000,Digestate_PE,Co-Pyro,15.67114094,28.558121872631503,459.2978364710907
735,digestate_pe_463,5.1,75.35,7.7,11.85,61.224,10.0275,10.6,1.214,0.1305,0.002,1.85,0.2,30.795,600,1.0,1.0,1000,Digestate_PE,Co-Pyro,15.81122976,28.558121872631503,459.2978364710907
671,digestate_pe_418,7.649999999999999,63.025000000000006,11.55,17.775,49.362,7.41375,15.9,1.807,0.16525,0.001,1.675,0.3,22.925,600,1.5,1.0,1000,Digestate_PE,Co-Pyro,16.26630062,28.558121872631503,459.2978364710907
